team,color,alt_color,tertiary,fourth,fifth,sixth,abbr,conf,sub,group,espn_id,pff_id,team_id,p1,p2,
Air Force,#0033A0,#FFFFFF,,,,,AFA,MWC,FBS,G5,2005,COAF,1001,D:/NCAA_Images/FBS/_primary/Air_Force.p1_500.png,D:/NCAA_Images/FBS/_primary/Air_Force.p2_500.png,
Akron,#041E42,#A89968,#FFFFFF,#84754E,#E89719,#FFC425,AKR,MAC,FBS,G5,2006,OHAK,1002,D:/NCAA_Images/FBS/_primary/Akron.p1_500.png,D:/NCAA_Images/FBS/_primary/Akron.p2_500.png,
Alabama,#9E1B32,#FFFFFF,#000000,#828A8F,,,ALA,SEC,FBS,P5,333,ALUN,1003,D:/NCAA_Images/FBS/_primary/Alabama.p1_500.png,D:/NCAA_Images/FBS/_primary/Alabama.p2_500.png,
Appalachian State,#222222,#FFCC00,#FFFFFF,,,,APP,SBC,FBS,G5,2026,NCAP,1004,D:/NCAA_Images/FBS/_primary/Appalachian_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Appalachian_State.p2_500.png,
Arizona,#AB0520,#0C234B,#8F654D,#FFFFFF,,,ARIZ,PAC,FBS,P5,12,AZUN,1005,D:/NCAA_Images/FBS/_primary/Arizona.p1_500.png,D:/NCAA_Images/FBS/_primary/Arizona.p2_500.png,
Arizona State,#8C1D40,#FFC627,#000000,#FFFFFF,,,ASU,PAC,FBS,P5,9,AZST,1006,D:/NCAA_Images/FBS/_primary/Arizona_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Arizona_State.p2_500.png,
Arkansas,#9D2235,#FFFFFF,#000000,#F2F2F4,#C7C8CA,#424242,ARK,SEC,FBS,P5,8,ARUN,1007,D:/NCAA_Images/FBS/_primary/Arkansas.p1_500.png,D:/NCAA_Images/FBS/_primary/Arkansas.p2_500.png,
Arkansas State,#CC092F,#000000,#FFFFFF,,,,ARST,SBC,FBS,G5,2032,ARST,1008,D:/NCAA_Images/FBS/_primary/Arkansas_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Arkansas_State.p2_500.png,
Army,#D3BC8D,#2C2A29,#B1B3B3,#FFFFFF,#53565A,#FFC72C,ARMY,FBSI,FBS,G5,349,NYWP,1009,D:/NCAA_Images/FBS/_primary/Army.p1_500.png,D:/NCAA_Images/FBS/_primary/Army.p2_500.png,
Auburn,#F26522,#0C2340,#FFFFFF,,,,AUB,SEC,FBS,P5,2,ALAU,1010,D:/NCAA_Images/FBS/_primary/Auburn.p1_500.png,D:/NCAA_Images/FBS/_primary/Auburn.p2_500.png,
Ball State,#BA0C2F,#FFFFFF,#000000,,,,BALL,MAC,FBS,G5,2050,INBS,1011,D:/NCAA_Images/FBS/_primary/Ball_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Ball_State.p2_500.png,
Baylor,#154734,#FFB81C,#FFFFFF,#707372,,,BAY,B12,FBS,P5,239,TXBA,1012,D:/NCAA_Images/FBS/_primary/Baylor.p1_500.png,D:/NCAA_Images/FBS/_primary/Baylor.p2_500.png,
Boise State,#0033A0,#FA4616,#FFFFFF,#C8C9C7,#53565A,,BSU,MWC,FBS,G5,68,IDBO,1013,D:/NCAA_Images/FBS/_primary/Boise_State.p1_500.png,D:/NCAA_Images/FBS/_primary/Boise_State.p2_500.png,
Boston College,#862633,#B29D6C,#000000,#FFFFFF,,,BC,ACC,FBS,P5,103,MABC,1014,D:/NCAA_Images/FBS/_primary/Boston_College.p1_500.png,D:/NCAA_Images/FBS/_primary/Boston_College.p2_500.png,
Bowling Green,#FE5000,#4F2C1D,#CDA077,#000000,,,BGSU,MAC,FBS,G5,189,OHBG,1015,D:/NCAA_Images/FBS/_primary/Bowling_Green.p1_500.png,D:/NCAA_Images/FBS/_primary/Bowling_Green.p2_500.png,
Buffalo,#005BBB,#FFFFFF,#666666,#000000,,,BUFF,MAC,FBS,G5,2084,NYBU,1016,D:/NCAA_Images/FBS/_primary/Buffalo.p1_500.png,D:/NCAA_Images/FBS/_primary/Buffalo.p2_500.png,
BYU,#002E5D,#FFFFFF,#0062B8,#B9975B,,,BYU,FBSI,FBS,G5,252,UTBY,1017,D:/NCAA_Images/FBS/_primary/BYU.p1_500.png,D:/NCAA_Images/FBS/_primary/BYU.p2_500.png,
California,#041E42,#FFC72C,#FFFFFF,,,,CAL,PAC,FBS,P5,25,CAUN,1018,D:/NCAA_Images/FBS/_primary/California.p1_500.png,D:/NCAA_Images/FBS/_primary/California.p2_500.png,
Central Michigan,#6A0032,#FFC82E,#FFFFFF,,,,CMU,MAC,FBS,G5,2117,MICE,1019,D:/NCAA_Images/FBS/_primary/Central_Michigan.p1_500.png,D:/NCAA_Images/FBS/_primary/Central_Michigan.p2_500.png,
